"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000106144",392.779067848302,-0.0688304783082013,0.220222156325362,-0.312550196840818,0.754622420726541,0.918883915660696
"ENSG00000106153",1999.45830942156,0.0585679302100684,0.114510030741519,0.511465500714714,0.609025139752691,0.842693262870362
"ENSG00000106178",1.14095235044107,0.624421204723547,1.80755083881555,0.345451531052216,0.729754942553906,NA
"ENSG00000106211",8538.62956816814,0.501825132242848,0.11788142831448,4.25703301544748,2.0715777306829e-05,0.000412816378042007
"ENSG00000106236",2.18110395487554,1.61521816855077,1.99578727412884,0.8093137928519,0.418334674521301,NA
"ENSG00000106244",1944.15243551684,-0.0354626065472457,0.11932156490056,-0.297201990074464,0.766312302621999,0.922294570707721
"ENSG00000106245",811.959539257278,0.0504593024395372,0.0926201983399114,0.544798039131315,0.585892427457871,0.827612584023655
"ENSG00000106246",174.796486098893,-0.097727660362885,0.195712406003739,-0.499343206485427,0.617537621810248,0.846849627156483
"ENSG00000106258",83.2458283640286,-0.0424369586519511,0.236688801042727,-0.179294324298387,0.857706603198198,0.959099630466844
"ENSG00000106261",2999.52853938707,-0.336081054032408,0.152575357324362,-2.20272172339028,0.0276143681873465,0.13314660956876
"ENSG00000106263",2665.57465145238,0.15461923094813,0.119947485794847,1.28905770657489,0.197378025489757,0.475320431871899
"ENSG00000106266",883.007643701474,-0.0961188750592059,0.179643226575247,-0.535054267793083,0.592612332090516,0.8326480906866
"ENSG00000106268",178.686706257264,0.199193203340947,0.149923588708126,1.32863150527126,0.183969572605676,0.457834084139857
"ENSG00000106278",3.70865566120233,0.705762374236417,1.97216371616372,0.357861960673973,0.720446618981391,NA
"ENSG00000106290",1160.14116928086,0.00651565200779423,0.0896570012993957,0.0726730976205218,0.942066256915548,0.985047060809005
"ENSG00000106299",1447.59253714054,0.374669110383037,0.152311621261092,2.45988524894486,0.0138981445106588,0.0825764608136243
"ENSG00000106302",2.95681312458882,1.11555525461626,1.02505669515091,1.08828639419991,0.27646869507788,NA
"ENSG00000106304",0,NA,NA,NA,NA,NA
"ENSG00000106305",222.010880906883,0.24623158976096,0.140068180078252,1.75794095149518,0.0787575569599209,0.271321834903814
"ENSG00000106327",8.96486733060555,-0.058670122217228,0.605093634050427,-0.0969604023504543,0.922757840577499,NA
"ENSG00000106328",0.13880171053401,0.894699722854173,3.5338115409304,0.253182636507722,0.800127083554548,NA
"ENSG00000106330",304.788520210274,-0.189557917529266,0.137306816905139,-1.38054265477748,0.167419625836661,0.432248590742625
"ENSG00000106331",0,NA,NA,NA,NA,NA
"ENSG00000106333",8928.53941388464,-0.643424789619197,0.142563980339834,-4.51323530730165,6.38461181741072e-06,0.00014432081488759
"ENSG00000106336",23.8899047066805,-0.534894616361754,0.381933279739974,-1.40049229730889,0.16136594840745,0.423844482939789
"ENSG00000106341",0,NA,NA,NA,NA,NA
"ENSG00000106344",537.158098252131,0.271697620528313,0.211748253456175,1.28311622926583,0.199451358728564,0.478449091478322
"ENSG00000106346",240.840386289556,-0.171150029749626,0.173812079337113,-0.98468432345071,0.324779155399747,0.630848808249876
"ENSG00000106348",850.862662436137,0.422110308546393,0.176296729088686,2.39431730088452,0.0166513367892261,0.0944865101809029
"ENSG00000106351",153.537405986972,-0.0173919883675257,0.259256366732808,-0.0670841321534452,0.946514726143668,0.986447364048617
"ENSG00000106355",310.223592546791,0.243163541037241,0.137486068432383,1.76864131624239,0.0769537512293043,0.267492440295574
"ENSG00000106366",6510.39215663746,0.75009778556533,0.318831468548427,2.35264664739766,0.0186403380140418,0.10177210753695
"ENSG00000106367",915.594911610432,0.00717700516796025,0.0902464634205932,0.0795267193409215,0.936613679951613,0.983226000191312
"ENSG00000106384",7.51616335352499,-0.948593142429224,0.79203821725615,-1.1976608221197,0.231049087301792,NA
"ENSG00000106392",591.204052846384,-0.106906176028026,0.179177918913633,-0.596648162207736,0.550742308682567,0.804571454133064
"ENSG00000106397",1794.95907509211,0.326500557545669,0.112771364860579,2.89524346849333,0.00378864555647634,0.0307827451463703
"ENSG00000106399",113.873407337953,-0.0650635424942293,0.263276571654725,-0.247130012690826,0.804807607181873,0.938322649019974
"ENSG00000106400",820.407227162071,0.112693561184761,0.148755574408373,0.75757538252239,0.448705222112639,0.733787398295341
"ENSG00000106404",175.359149189677,0.129891770038689,0.267078913982573,0.486342287759807,0.626724501585396,0.852852368930737
"ENSG00000106410",0,NA,NA,NA,NA,NA
"ENSG00000106415",233.981381540884,0.446268942591389,0.262071130946525,1.70285426319028,0.0885953450412209,0.292900349410454
"ENSG00000106436",0.801376108853778,-0.273914487186125,1.75801666027283,-0.15580881192765,0.876183724546355,NA
"ENSG00000106443",613.54745916134,-0.281441399943097,0.121821374967711,-2.31027929226453,0.0208726966158126,0.109610606881582
"ENSG00000106459",239.28355376431,-0.178148549499751,0.202836011915906,-0.878288563342538,0.379787140672965,0.678398065191879
"ENSG00000106460",1611.659271237,-0.0781585692264653,0.143778049982894,-0.543605711968998,0.586712828289581,0.82796923075342
"ENSG00000106462",101.930148001791,-0.827522907854699,0.262111944500969,-3.15713543474796,0.00159327326682409,0.0152553759778589
"ENSG00000106477",205.826315470737,-0.465568062697765,0.190366781212015,-2.44563709977978,0.0144596461427045,0.0848146168982413
"ENSG00000106479",747.988377548151,-0.0449176049980194,0.167500771785097,-0.26816357034849,0.788573414962976,0.931760366804365
"ENSG00000106483",469.724916130949,-0.851255733529677,1.12859099839685,-0.754264153035846,NA,NA
"ENSG00000106484",941.131965022028,-1.97514728167197,0.392171576659876,-5.03643659873133,4.74278102694234e-07,1.45109936672812e-05
"ENSG00000106511",9.31361587097047,1.08598711516124,0.741020068211555,1.46552996571639,0.14277638296379,NA
"ENSG00000106524",345.72724615121,-0.729986690329967,0.133187518242207,-5.48089415558038,4.23181607730129e-08,1.6777710599667e-06
